fold,label,prevalence,positives,rows
fold1_seed42,toxic,0.09584448302009764,15294,159571
fold1_seed42,severe_toxic,0.009995550569965721,1595,159571
fold1_seed42,obscene,0.052948217407925,8449,159571
fold1_seed42,threat,0.002995531769557125,478,159571
fold1_seed42,insult,0.04936360616904074,7877,159571
fold1_seed42,identity_hate,0.00880485802558109,1405,159571
fold2_seed42,toxic,0.09584448302009764,15294,159571
fold2_seed42,severe_toxic,0.009995550569965721,1595,159571
fold2_seed42,obscene,0.052948217407925,8449,159571
fold2_seed42,threat,0.002995531769557125,478,159571
fold2_seed42,insult,0.04936360616904074,7877,159571
fold2_seed42,identity_hate,0.00880485802558109,1405,159571
fold3_seed42,toxic,0.09584448302009764,15294,159571
fold3_seed42,severe_toxic,0.009995550569965721,1595,159571
fold3_seed42,obscene,0.052948217407925,8449,159571
fold3_seed42,threat,0.002995531769557125,478,159571
fold3_seed42,insult,0.04936360616904074,7877,159571
fold3_seed42,identity_hate,0.00880485802558109,1405,159571
